Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Phishing Email,yes,yes,"It urges urgent action via a link to reset password and lacks verification details, a common phishing tactic.",92
"Hi Jordan, please find the attached report for this month's performance review.",Safe Email,no,no,"Content is generic and could be legitimate; no suspicious wording or links are present, though attachments can be used in phishing.",60
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,Generic welcome message with no links or requests for sensitive info; no obvious phishing cues.,70
"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,A generic webinar invite with a normal call-to-action and no request for sensitive data or obvious deception in the provided text.,70
"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"It's a straightforward reminder about a project deadline; contains no requests for sensitive data, links, or urgent actions typical of phishing.",75
"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,"It's a benign networking follow-up with no suspicious elements (no links, no requests for sensitive data).",92
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,no,no,"It's a standard business email mentioning an attachment; content lacks common phishing cues (no urgent language, no links, no data requests).",70
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Phishing Email,yes,yes,"It uses urgency and a password-reset link request, a common phishing tactic with little verifiable context.",88
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It requests personal information to confirm delivery, a common phishing tactic.",92
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,The text is a generic newsletter welcome with no suspicious prompts or links.,70
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,Lacks obvious phishing indicators; it's just a generic newsletter welcome with no requests for sensitive data.,70
Reminder: Our meeting is scheduled for tomorrow at 4 PM. Please be prepared with your updates.,Safe Email,no,no,No obvious phishing cues; it's a neutral meeting reminder with no links or requests for sensitive information.,85
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Phishing Email,yes,yes,Unsolicited prize offer with a link to claim a prize is a typical phishing tactic.,92
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Phishing Email,yes,yes,Unsolicited prize offer with a link; common phishing tactic.,92
"Hi Taylor, please find the attached report for this month's performance review.",Safe Email,no,no,"Routine business email requesting an attached report; no links, no requests for sensitive data, and no obvious urgency.",65
We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email,yes,yes,"It asks you to log in to review transactions using a generic message, a common phishing tactic, and lacks personalization or legitimate channel details.",85
"Dear Jordan, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,Generic shipping confirmation with no links or credential requests; not obviously malicious.,60
"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,"It is a generic promotional message with no links, credential requests, or other typical phishing indicators in the provided text.",65
"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"It's a normal, non-urgent project reminder without suspicious links, requests for sensitive information, or spoofed sender cues.",85
"Hi Drew, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"This looks like a normal project reminder with no links, attachments, or requests for sensitive information.",85
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,"A generic welcome message with no requests for sensitive data or urgent actions; phishing would typically have links or data requests, though sender verification is still needed.",60
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It requests personal data to ""confirm delivery"" with no verifiable source.",90
"Hi Casey, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,It appears to be a normal follow-up after a conference with no suspicious requests or links.,85
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,Urgent request to update payment details after a decline is a common phishing tactic; verify via official app/website instead of following links.,72
"Hi Taylor, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,A typical post-conference networking message with no suspicious elements.,78
"Hi John, please find the attached report for this month's performance review.",Safe Email,no,no,"The content is generic and contains no obvious phishing cues (no links or credential requests); the attached file could still be risky, but the text alone isn’t enough to confirm phishing.",60
We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email,yes,yes,Generic alert asking to log in to review transactions; lacks personalization and verifiable sender.,85
"Hi Jane, please find the attached report for this month's performance review.",Safe Email,no,no,"It appears to be a routine internal email with an attachment; it lacks obvious phishing indicators (no urgent language, no credential requests, and no suspicious links).",65
"Hello Sam, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"Routine internal update; no links, no requests for credentials, or urgent actions.",85
"Hi John, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"The message is a plain internal reminder about a deadline with no links, attachments, or requests for credentials, and no urgent threats.",90
"Hi Morgan, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,It’s a normal deadline reminder with no request for sensitive data or links.,90
"Dear Chris, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,It's a simple order-confirmation message with no requests for sensitive data or links; nothing obviously malicious.,85
"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,no,no,"No obvious red flags in the text (no links, no credential requests, no urgency); could be legitimate, but cannot confirm from content alone.",60
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"Urgent billing update request to continue service, a common phishing tactic.",85
Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email,,yes,Error: Invalid or no response from OpenAI API. Response: No response,
Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email,no,no,"This is a straightforward meeting reminder with no requests for sensitive info, credentials, or links.",85
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,"This is a generic newsletter greeting with no suspicious elements; however, full context (headers, links) would be needed to be certain.",65
Important: Update your email account settings to avoid service interruption.,Phishing Email,,yes,Error: Invalid or no response from OpenAI API. Response: No response,
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"It asks to update billing details from an unknown source, a common phishing tactic to steal payment info.",85
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,Unsolicited alert to click a link to verify your account is a common phishing tactic used to steal credentials.,85
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"It uses a generic alert and a link to read a message, a common phishing tactic; lacks personalization and verification of sender.",70
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"Urgent security alert with a generic “verify your account by clicking here” link, a common phishing tactic lacking personalized or verifiable context.",85
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It asks for personal information to ""confirm delivery,"" a classic phishing tactic; legitimate notices rarely request sensitive data by email.",85
"Dear Drew, your account has been compromised. Click the link to reset your password immediately.",Phishing Email,yes,yes,Urgent password reset via a link with a generic greeting is a common phishing tactic.,90
Congratulations! You've won a $500 gift card. Click here to claim your prize.,Phishing Email,yes,yes,Unsolicited prize offer prompting you to click a link; lacks sender verification or personalization; a common phishing tactic.,90
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"The phrase mirrors common phishing scams that push urgent billing updates; without verification or official branding, it's suspicious.",85
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,Urgent request to update account settings with no sender verification; a common phishing tactic.,70
"Dear John, your account has been compromised. Click the link to reset your password immediately.",Phishing Email,yes,yes,"The message uses urgent language and prompts clicking a password-reset link, a common phishing tactic to steal credentials.",90
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,"Urgent, generic request to update settings; lacks sender details and context",75
"Dear Chris, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,no,no,No obvious phishing cues; generic renewal notice.,60
"Hello Morgan, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"It’s a generic internal update with no suspicious links, attachments, or credential requests.",70
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email,yes,yes,"Without sender details or verifiable links, the message uses urgency to renew, a common phishing tactic.",65
"Hi Jane, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"Neutral reminder about a deadline; no links, attachments, or requests for sensitive information; no unusual sender details.",85
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"Urgent security alert with a 'click here' to verify account; generic wording and no verifiable sender, a common phishing tactic.",85
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,no,no,"The message is generic and lacks obvious phishing cues (no urgent action, no credential requests, and no suspicious links); an attached minutes file can be legitimate.",65
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,"This is a generic newsletter welcome with no links, credential requests, or urgent action prompts.",85
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Phishing Email,yes,yes,"It's a common phishing tactic to offer an unsolicited prize and require clicking a link to claim it, often with no verification.",95
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"The message is unsolicited, generic, and directs the user to click a link to read a ""secure message"" from an unspecified bank—classic phishing tactic.",85
"Hello Drew, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"It appears to be a routine project update without malicious cues (no links, no requests for credentials, no urgency).",65
Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email,yes,yes,It resembles a common phishing lure (urgent payment request with an attachment); verify the sender and the invoice details before acting.,70
"Hi Drew, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"It's a benign, generic reminder with no suspicious requests, links, or attachments.",92
Reminder: Our meeting is scheduled for tomorrow at 1 PM. Please be prepared with your updates.,Safe Email,no,no,Content is a generic meeting reminder with no links or requests for sensitive data.,85
"Dear Sam, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,no,no,Looks like a benign renewal notice with a personalized salutation and no requests for sensitive data or actions; no suspicious links are shown in the snippet.,65
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"Generic prompt with a ""Click here"" link for a bank message; lacks personalization and clear branding, a common phishing tactic.",70
"Hi John, please find the attached report for this month's performance review.",Safe Email,no,no,It's a routine message with an attached document and no suspicious requests or links.,70
"Hello Taylor, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,It's a generic internal update with no suspicious links or requests for credentials.,85
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email,yes,yes,Unsolicited prize claim with a click-through link is a typical phishing tactic.,92
"Dear Morgan, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,"It’s a generic promotional email with no request for sensitive data, no urgent threats, and no suspicious links in the text.",70
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It's requesting personal information to confirm delivery, a common phishing tactic and lacks verifiable sender details.",92
We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email,yes,yes,Generic alert about unusual activity prompting a login; lacks personalized details and verifiable sender information.,85
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It asks for personal information to ""confirm delivery,"" a common phishing tactic; legitimate carriers typically won't request sensitive data via email.",90
Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email,yes,yes,"It uses urgency and an attachment request to prompt payment, a common phishing tactic.",70
"Dear Chris, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,"It's a generic webinar invitation without requests for credentials, payment, or suspicious links in the excerpt.",70
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"The message uses urgent language to solicit updating billing details and lacks verifiable sender information, a common phishing tactic.",85
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"Generic prompt to click a link about a bank message; lacks bank name or legitimate URL, a common phishing tactic.",85
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,This is a common phishing tactic—an urgent security alert prompting you to click a link to verify your account.,85
"Hi Chris, please find the attached report for this month's performance review.",Safe Email,no,no,"No obvious phishing cues in the text; it's a plausible internal message, but verify the sender and attachment before opening.",60
"Hi Jane, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,Very generic follow-up after a conference; no links or requests.,78
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"It's a common phishing tactic to impersonate a bank and lure users with a ""secure message"" link; lacks personalization and verifiable sender details.",85
"Hi Morgan, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,"A benign, non-urgent networking follow-up with no links or requests for sensitive information.",85
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"It pressures the user to update billing details with vague sender info, a common phishing tactic.",70
"Dear Alex, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,"It appears to be a generic webinar invitation without requests for personal data or credentials, and no suspicious links are shown.",70
"Hello Casey, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"The email is a generic internal project update with no suspicious links, attachments, or requests for credentials.",90
"Hi Jane, please find the attached report for this month's performance review.",Safe Email,no,no,It's a neutral internal message about an attachment; no obvious phishing cues in the snippet.,60
"Hi Sam, please find the attached report for this month's performance review.",Safe Email,no,no,"It appears to be a routine work email requesting an attached report; no obvious red flags like urgent requests, credential or payment prompts, or suspicious links.",70
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,no,no,"This looks like a normal internal email asking to review attached meeting minutes; no links, no request for sensitive information.",70
"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,no,no,"It is a simple renewal notification with no links, requests for sensitive data, or urgent actions.",75
"Dear Taylor, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,no,no,Looks like a standard renewal notification with a personalized greeting and no requests for sensitive data or actions.,70
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"It uses urgent security language and a generic ""click here"" link to verify an account, a classic phishing tactic.",85
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It requests personal information to confirm delivery in an unsolicited message, a common phishing tactic; legitimate companies do not ask for sensitive data this way.",92
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"It asks to update billing info and threatens service denial, a common phishing tactic; verify the sender and domain before acting.",75
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"The message uses urgent language to prompt updating billing details without verification, a common phishing tactic.",75
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,Urgent 'update settings to avoid service interruption' is a common phishing lure; without sender verification it's suspicious.,65
"Hello John, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"Routine project update request with no links, no credential prompts, and no urgency.",85
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,Urgent prompt to click a link to verify an account; lacks sender info and legitimate context.,78
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"Urgent security alert with a link to verify your account; generic, lacks brand and personalization—common phishing tactic.",85
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"This matches a common phishing pattern—banking ""new secure message"" with a clickable link rather than directing to the official site or app.",85
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,Urgent request to update account settings to avoid service interruption is a common phishing tactic; no verified sender or context provided.,70
"Dear Morgan, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,"It looks like a benign transactional message (order confirmation) with no requests for sensitive data, no suspicious links, and no urgent or alarming content.",90
Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email,yes,yes,Urgent payment request with an attachment is a common phishing tactic; cannot verify sender or invoice legitimacy from content alone.,70
"Dear Casey, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,It's a standard transactional order/shipping notice with no requests for sensitive data or suspicious links.,85
"Dear Jordan, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,,no,Error: Invalid or no response from OpenAI API. Response: No response,
"Dear Drew, your account has been compromised. Click the link to reset your password immediately.",Phishing Email,yes,yes,Urgent password reset request with a link is a classic phishing tactic; lacks verifiable sender details and context.,75
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It asks for personal information to confirm delivery and uses urgency, a common phishing tactic with no verifiable source.",85
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,no,no,"Content is generic and does not include obvious phishing cues; without sender/attachment details, risk cannot be determined.",60
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,Urgent security alert with a 'click here' verification request; common phishing tactic.,85
"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,no,no,"It is a generic renewal confirmation with no links or requests for credentials, making phishing unlikely based on the content alone.",70
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,Urgent request to update billing info to continue service; generic message without verifiable sender details—typical phishing tactic.,85
Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email,yes,yes,Urgent payment request with an attachment and no sender verification is a common phishing tactic.,75
"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,The message is a neutral reminder about a deadline with no suspicious requests or links.,90
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,Urgent alert to click a link to verify account; a classic phishing lure.,85
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,"It's a generic, non-urgent welcome message with no requests for info or suspicious links.",70
We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email,yes,yes,"It urges the user to log in to review activity, a common phishing tactic, and lacks verifiable sender details.",75
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,"Generic urgent prompt to ""update your email account settings"" with no provider details; a common phishing lure to steal credentials.",65
"Hi Chris, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"It's a neutral reminder about a deadline with no links, no requests for sensitive data, and no phishing indicators.",85
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,"It resembles a common phishing tactic asking for updated billing details; without verification of sender, it could be fraudulent.",85
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email,yes,yes,"The message uses urgency and generic renewal language without identifying information or legitimate branding, which is typical of phishing.",75
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It requests personal info to ""confirm delivery,"" a common phishing tactic with no verifiable sender.",85
Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email,no,no,It resembles a standard meeting reminder with no suspicious requests or links.,85
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"It mimics a bank notification and uses a generic ""Click here"" link with no verifiable sender info.",85
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Phishing Email,yes,yes,"The message urges immediate action and asks to click a link to reset a password, a common phishing tactic; lacks verifiable sender details.",85
"Hi Casey, please find the attached report for this month's performance review.",Safe Email,no,no,"The message is generic and lacks suspicious cues (no urgent threats, credentials requests, or links); an attached report could be legitimate in a workplace context.",70
"Hello Jordan, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"Lacks typical phishing signals (no urgent demand, no credential requests, no links/attachments); appears to be a routine update, though sender authenticity cannot be confirmed from content alone.",65
"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Phishing Email,yes,yes,Urgent instruction to click a password reset link after claiming compromise is a common phishing tactic; lacks sender verification.,90
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,Urgent request to update account settings without context or verification; a common phishing tactic.,70
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,Urgent request to update billing information after a payment decline; common phishing tactic with no verifiable sender.,72
"Hello John, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,It appears to be a routine project update with no suspicious links or requests for sensitive data.,70
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,This is a common phishing lure: an unsolicited email claiming a secure bank message and asking you to click a link; legitimate banks typically direct you to their official site instead of clicking in emails.,70
"Dear Morgan, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,"No obvious phishing cues; no malicious links or credential requests, and the personalized greeting is common in legitimate invites.",70
"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,It's a routine work reminder about a deadline; no suspicious requests or data asked.,92
"Hi Morgan, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,It looks like a routine reminder with no suspicious links or data requests.,85
"Hi Morgan, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,Content is a generic reminder with no suspicious requests or links.,85
"Hello Morgan, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"It's a routine, legitimate-sounding update addressed to a named recipient; no links, attachments, or urgent credential requests.",70
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,"It uses urgent language to encourage updating account settings to avoid service interruption, a common phishing tactic; lacks sender details and verifiable channel.",65
Your payment has been declined. Update your billing information to continue using our service.,Phishing Email,yes,yes,Urgent request to update billing info to avoid service disruption; generic phrasing and potential link suggest phishing.,78
"Hi Casey, please find the attached report for this month's performance review.",Safe Email,no,no,No obvious phishing indicators; the message is generic and could be legitimate internal email with an attachment.,65
"Hi Taylor, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,"It looks like a typical professional follow-up with no suspicious asks, links, or urgency.",85
"Dear Morgan, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,"It is a generic shipping notice with no links, requests for sensitive data, or urgent actions.",60
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,"The message is vague, urgent, and asks to ""update"" settings without verification or a legitimate sender/link, which is typical phishing.",65
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email,yes,yes,Unsolicited prize offer with a link; a common phishing tactic to steal credentials or install malware.,92
We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email,yes,yes,"Generic alert requesting login to review transactions; lacks personalization, legitimate sender details, or verifiable context, a common credential-harvesting tactic.",85
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"The message asks you to click a link to read a bank message, a common phishing tactic; verify via the bank's official app or website rather than clicking.",85
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,"Urgent ""update your account settings"" prompt is a common phishing tactic and no verifiable sender or legitimate link is shown.",65
"Hi Alex, please find the attached report for this month's performance review.",Safe Email,no,no,It's a generic internal business email about an attached report; no suspicious links or credential requests are evident in the snippet.,60
"Hi Sam, please find the attached report for this month's performance review.",Safe Email,yes,no,"It uses a generic greeting and an attachment with little context, a common phishing tactic.",60
"Dear Sam, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,Not clearly phishing; generic webinar promo with no sensitive data request or suspicious links,60
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"It prompts clicking a link to read a bank message without verifiable sender information, a common phishing tactic.",75
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email,yes,yes,Urgency to renew to avoid service disruption is a common phishing tactic; lacks verification details.,68
Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email,no,no,It's a neutral meeting reminder with no links or requests for sensitive information.,85
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"Urgent security alert with a generic ""click here"" link is a common phishing tactic and lacks verifiable sender details or a legitimate domain.",80
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,Urgent security alert prompting you to click a link is a common phishing tactic; no verifiable sender or personalization.,78
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,"The message is a generic newsletter greeting with no suspicious links, data requests, or urgent actions.",75
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email,no,no,"It's a generic newsletter welcome message with no links, no requests for sensitive data, and no urgent language.",85
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,Urgency to update account settings without identifying the sender or legitimate channel is a common phishing tactic.,70
