Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Subject: Research discussion

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Feel free to add notes before we meet.

Best,
Avery Patel",Safe Email,no,no,"Routine professional email about feedback on a draft proposal; lacks suspicious links, requests for sensitive info, or urgent pressure.",78
"Dear customer, this is the immigration accounts team. There are policy concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Keywords: mastercard president visa

Security Team,
Sam Khan",Phishing Email,yes,yes,"The email uses a generic salutation, urgent language about a suspension, and asks you to follow ""confidential steps"" to review your account; the branding (immigration accounts team) and lack of legitimate context make it suspicious.",78
"Subject: Team lunch planning

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Thanks for reviewing the document.

Best,
Casey Khan",Safe Email,no,no,"No obvious phishing cues; routine internal email about meeting minutes, no links, attachments, or credential requests.",70
"Dear user, your login has been restricted. Use the secure link to reset password and restore access. Enter your verification code to continue.

Keywords: login passcode personal information password username

Account Services,
Jordan Nguyen",Phishing Email,yes,yes,"Generic greeting, urgent password reset request via a link and verification code; lacks verifiable sender details.",85
"Subject: Lab booking confirmation

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Feel free to add notes before we meet.

Best,
Taylor Khan",Safe Email,no,no,"It's a simple reminder about a training session with no requests for personal data, links, or urgent action.",85
"Dear customer, this is an 48 hours notice regarding your account. Your access will expire today. To avoid interruption, act now. This offer is last chance and ends soon. Follow the instructions immediately.

Keywords: deadline now 48 hours final notice

Support Desk,
Riley Lee",Phishing Email,yes,yes,"Urgency, inconsistent timing, and lack of verifiable sender/company details indicate phishing.",85
"Subject: Lab availability

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Feel free to add notes before we meet.

Best,
Casey Garcia",Safe Email,no,no,"The content describes a routine lab booking and calendar invite; no suspicious links, urgent requests, or credential demands.",78
"Subject: Budget planning

Sharing the revised documentation with examples. The endpoints are described in section two.

Feel free to add notes before we meet.

Best,
Morgan Nguyen",Safe Email,no,no,"It looks like a routine internal email about documentation with no links, credential requests, or urgent actions.",70
"Subject: Conference registration

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Appreciate your feedback on this draft.

Best,
Riley Singh",Safe Email,no,no,It looks like a routine internal message about reviewing an agenda; no links or requests for sensitive data. The subject/content mismatch is not definitive.,70
"Subject: Performance feedback

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Feel free to add notes before we meet.

Best,
Cameron Singh",Safe Email,no,no,"It appears to be a routine scheduling note about a lab meeting with no links, attachments, or credential requests.",70
"Notice, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: spyware, patch, system administrator, problem, error, technical support

Regards,
Casey Nguyen",Phishing Email,yes,yes,Urgent malware warning with a link to install a patch; generic sign-off and lack of official branding suggest phishing.,78
"Subject: Office maintenance

Sharing the revised documentation with examples. The new endpoints are described in section two.

Let me know if the timing works for you.

Best,
Riley Patel",Safe Email,no,no,"Professional, generic message about revised documentation and endpoints; no links, requests for sensitive data, or urgent action.",70
"Subject: Welcome aboard

Thanks for attending the workshop. Here are links to references and the slide deck.

Let me know if the timing works for you.

Best,
Sam Khan",Safe Email,no,no,"It has a neutral tone, references a workshop and links, and does not include urgent requests or credential collection cues in the visible text.",60
"Subject: Documentation review

Sharing the revised documentation with examples. The new endpoints are described in section two.

Let me know if the timing works for you.

Best,
Avery Singh",Safe Email,no,no,"The email is brief and professional, mentions documentation and endpoints, and does not request sensitive information or contain suspicious links or attachments.",70
"Subject: Classroom logistics

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Sam Singh",Safe Email,no,no,"No obvious phishing cues; it's a routine internal reminder about a training session with no links, attachments, or requests for sensitive information.",78
"Account holder, your profile has been restricted. Use the secure link to update password and restore access. Enter your verification code to continue.

Keywords: security code signin

Regards,
Riley Patel",Phishing Email,yes,yes,"Generic greeting, request to click a 'secure link' and enter a verification code; urgency and lack of personalization suggest phishing.",72
"Hello, this is the paypal security team. There are policy violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a restriction.

Keywords: twitter fbi

Compliance Team,
Morgan Patel",Phishing Email,yes,yes,"Impersonates PayPal security, uses urgency and asks to ""review"" your account; suspicious signature and irrelevant keywords.",85
"Subject: Performance feedback

Thanks for attending the workshop. Here are the links to references and the slide deck.

Thanks for reviewing the document.

Best,
Sam Lee",Safe Email,no,no,"The message is a simple, standard follow-up without links, urgent requests, or credentials; no suspicious indicators are present.",70
"Hello, final warning. Failure to respond will hold your account. Immediate action is required to avoid fine. Your case will be referred to the judge if unresolved.

Keywords: lawsuit penalty hold

Risk Operations,
Cameron Wong",Phishing Email,yes,yes,"The message uses urgent legal threats and generic sender info with no verifiable details or legitimate contact channel, a common phishing tactic.",78
"Attention, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: share, click here, delete after reading, sensitive, do not share

Compliance Team,
Alex Nguyen",Phishing Email,yes,yes,Contains a clickable link and attachment in an auto-generated notification from an unknown sender; do-not-reply language and urgency suggest phishing.,78
"Subject: Weekly status report

Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides for review.

Feel free to add notes before we meet.

Best,
Jamie Patel",Safe Email,no,no,Routine meeting reminder with no suspicious links or data requests.,85
"Subject: Schedule confirmation

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Let me know if the timing works for you.

Best,
Jamie Lee",Safe Email,no,no,Neutral business email about a draft proposal with a deadline; no requests for sensitive data or suspicious links.,75
"Dear user, this is the legal compliance team. There are policy violations on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

Keywords: lawyer ceo

IT Desk,
Morgan Garcia",Phishing Email,yes,yes,"The message uses a generic threat of suspension, asks to follow ""official steps,"" and lacks verifiable sender details or legitimate channel identification.",85
"Dear user, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: personal information, security question, login

Security Team,
Jamie Patel",Phishing Email,yes,yes,"Requests sensitive data (username, 2FA code, recovery key) via email; generic greeting and unknown sender; typical phishing indicators.",92
"Hello, we detected unusual activity on your account. To restore access, please update your information. Your account may be restricted until you reactivate it.

Keywords: unauthorized restore breach

Account Services,
Alex Kim",Phishing Email,yes,yes,"It asks to update information to restore access and uses urgency from an unfamiliar sender, a common phishing tactic.",85
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: instantly, last chance, final notice, today only, rush, 24 hours

Compliance Team,
Sam Wong",Phishing Email,yes,yes,"It uses urgent, time-sensitive language and asks you to follow the instructions immediately, a common phishing tactic; sender details are not verifiable.",85
"Subject: Training session notes

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Casey Lee",Safe Email,no,no,"Neutral internal message about a training session; lacks links, requests for credentials, or sensitive information.",85
"Hello, this is the fraud prevention compliance team. There are security concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a restriction.

Keywords: acquisition bank of america spotify whatsapp visa

Sincerely,
Sam Nguyen",Phishing Email,yes,yes,"Urgent threat and request to 'review' account with confidential steps, no verifiable sender details; suspicious keywords indicate phishing.",85
"Subject: Office maintenance

Please find the minutes from our last meeting. Action items are listed at the end of the note for convenience.

I'll share the slides later today.

Best,
Jamie Patel",Safe Email,no,no,"Routine internal email about meeting minutes and slides; no links or credential requests, and no urgent language.",80
"Subject: Documentation review

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Alex Garcia",Safe Email,no,no,"No links, no credential requests, and the content resembles routine scheduling for a lab.",70
"Dear customer, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: we met, soldier, doctor

Compliance Team,
Casey Lee",Phishing Email,yes,yes,"The email asks for a temporary loan with a promised repayment, uses an unverifiable sender (""Compliance Team, Casey Lee""), and relies on a stolen-wallet scenario—common phishing/social-engineering tactics.",82
"Subject: Onboarding checklist

Thanks for attending the workshop. Here are the links to references and the slide deck.

I'll share the slides later today.

Best,
Jordan Patel",Safe Email,no,no,"Neutral follow-up email; no urgent requests, credential prompts, or suspicious links shown.",78
"Attention, we detected a login attempt on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Keywords: restricted login attempt violation unauthorized compromised

Risk Operations,
Jordan Lee",Phishing Email,yes,yes,"The message asks for sensitive information to verify access, uses generic branding, and threatens account lock, with no verifiable sender.",85
"Subject: Code review summary

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Thanks for reviewing the document.

Best,
Jordan Brown",Safe Email,no,no,It lacks malicious links or credential requests and resembles a normal internal meeting-minute email.,70
"Hi there, congratulations! You are the selected recipient of a prize. To redeem your payment of ₹80,000, please provide your credit card to process the total. This deal is available today only.

Keywords: earnings refund amount transfer

Security Team,
Casey Lee",Phishing Email,yes,yes,"It solicits credit card details to claim a prize, uses urgent, limited-time language, and comes from an unverified sender.",92
"Subject: Classroom logistics

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

I'll share the slides later today.

Best,
Morgan Kim",Safe Email,no,no,It resembles a typical internal professional email with no suspicious links or requests.,85
"Dear customer, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: do not reply, noreply, visit, announcement

Regards,
Taylor Brown",Phishing Email,yes,yes,"Generic greeting, urges clicking a link and opening an attachment, says not to reply, and lacks verifiable sender info—typical phishing signals.",75
"Dear user, final warning. Failure to respond will hold your account. Immediate action is required to avoid legal action. Your case will be referred to the judge if unresolved.

Keywords: default delete final warning terminate

IT Desk,
Morgan Brown",Phishing Email,yes,yes,"Urgent legal-action threat, generic greeting, and lack of verifiable sender/organization indicate a phishing attempt.",80
"Notice, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: deadline, asap, while supplies last

Compliance Team,
Jamie Wong",Phishing Email,yes,yes,"Urgency to act now, lacks verifiable sender details, and uses a generic signature—common phishing tactic.",78
"Subject: Research discussion

Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Jamie Kim",Safe Email,no,no,"No obvious phishing cues; it appears to be a routine internal email about sharing documentation and requesting feedback, with no links or credential requests.",70
"Attention, this is an act now notice regarding your account. Your access will expire within 24 hours. To avoid interruption, respond asap. This offer is time sensitive and ends soon. Follow the instructions now.

Keywords: act now 24 hours

Regards,
Riley Garcia",Phishing Email,yes,yes,"The message uses time pressure and requests immediate action with vague account details, typical phishing tactics.",85
"Dear customer, your login has been suspended. Use the secure link to update password and restore access. Enter your 2FA code to continue.

Keywords: signin personal information

Account Services,
Jamie Wong",Phishing Email,yes,yes,"Contains an urgent security alert, asks for a password reset and 2FA code via email, and uses a generic greeting—classic phishing indicators.",85
"Account holder, this is the account services accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a hold.

Keywords: acquisition paypal

Risk Operations,
Avery Patel",Phishing Email,yes,yes,"Urgent, generic threat to ""review your account"" with no account-specific details or verifiable sender; suspicious signature/keywords.",75
"Subject: Performance feedback

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Jordan Garcia",Safe Email,no,no,"It appears to be a standard internal email about a meeting agenda with no suspicious links, requests for sensitive info, or urgent actions.",85
"Subject: Invoice confirmation

Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Alex Lee",Safe Email,no,no,"The email body shows normal internal collaboration with no sensitive data, links, or urgent requests; subject mismatch is likely a harmless mislabel rather than phishing.",60
"Hello, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: error, bug, repair, technical support, spyware

Support Desk,
Casey Lee",Phishing Email,yes,yes,"Urgent request to click a link to install a patch, impersonating IT support; lacks verifiable sender details.",70
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: quick, expires soon, rush, ends soon

Sincerely,
Jordan Kim",Phishing Email,yes,yes,"Urgent, time-sensitive language urging immediate action with a generic greeting and instructions to ""follow the instructions""—a common phishing tactic.",85
"Subject: Budget planning

Thanks for attending the workshop. Here are the links to references and the slide deck.

Appreciate your feedback on this draft.

Best,
Jordan Brown",Safe Email,no,no,"No obvious phishing cues—professional tone, no urgent requests, no credentials or malicious links present.",85
"Subject: Networking event details

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",Safe Email,no,no,"Normal follow-up email with references and slide deck; no requests for credentials or urgent actions, and nothing obviously malicious.",75
"Subject: Invoice confirmation

Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Appreciate your feedback on this draft.

Best,
Morgan Brown",Safe Email,no,no,"No obvious phishing cues; routine work email about PR changes and asking for feedback, with no links or credential requests.",72
"Dear customer, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: it department, database, update

Regards,
Cameron Garcia",Phishing Email,yes,yes,Urgent alert from an unspecified IT department asking to click a link to install a patch; generic salutation and signature—classic phishing pattern.,85
"Attention, this is an instantly notice regarding your account. Your access will be limited today. To avoid interruption, act now. This offer is time sensitive and expires midnight. Follow the instructions now.

Keywords: limited offer immediate ends soon

Sincerely,
Jordan Garcia",Phishing Email,yes,yes,"Urgent, time-sensitive threat of account restriction; generic sender name and call to ""follow the instructions now"" with no verifiable details.",92
"Subject: Training session notes

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Taylor Garcia",Safe Email,no,no,Normal professional email about PR notes and timing; no links or requests for sensitive data.,72
"Notice, this is an time sensitive notice regarding your account. Your access will expire soon. To avoid interruption, respond asap. This offer is last chance and expires midnight. Follow the instructions now.

Keywords: instantly don't wait

Account Services,
Morgan Singh",Phishing Email,,yes,Error: Invalid or no response from OpenAI API. Response: No response,
"Notice, we detected a security alert on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Keywords: security deactivated

Security Team,
Morgan Lee",Phishing Email,yes,yes,"It pressures verification of information, threatens account lock, and uses generic terms with a suspicious sign-off, typical phishing indicators.",85
"Dear customer, your profile has been locked. Use the secure link to update password and restore access. Enter your username and password to continue.

Keywords: signin recovery key

Security Team,
Taylor Brown",Phishing Email,yes,yes,It asks for username/password and to use a link to update the password after an account lock; generic greeting and urgency are classic phishing tactics.,85
"Notice, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: technical support, firewall, help desk, tech support, maintenance

Sincerely,
Sam Lee",Phishing Email,yes,yes,It claims IT detects malware and directs the user to a link to install a patch; generic sender and language typical of phishing.,85
"Subject: Project update

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Alex Lee",Safe Email,no,no,"No obvious phishing indicators; it's a generic internal project update with no links, requests for credentials, or urgent actions.",70
"Dear customer, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: it department, support team, upgrade, network

IT Desk,
Riley Lee",Phishing Email,yes,yes,"Impersonates IT, uses a generic greeting, and asks to click a link to install a patch—classic phishing lure.",78
"Notice, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: recover account, backup codes, two factor, security code

Regards,
Cameron Brown",Phishing Email,yes,yes,"The email asks for sensitive credentials (username, 2FA code, and recovery key) via email to reset access, which is a classic phishing tactic; legitimate providers won't request these items through email.",85
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: wallet stolen, replacement cards, business trip

Compliance Team,
Jamie Singh",Phishing Email,yes,yes,Asks for a temporary loan with repayment promise; impersonation cues (Compliance Team) and lack of verifiable details—typical phishing/social-engineering.,78
"Hi there, we detected a login attempt on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Keywords: data breach restricted

Account Services,
Casey Brown",Phishing Email,yes,yes,"The email asks to validate personal information and threatens account lock, a common phishing tactic; no verifiable or official contact channel is provided.",85
"Dear user, this is an quick notice regarding your account. Your access will be limited soon. To avoid interruption, respond asap. This offer is time sensitive and ends soon. Follow the instructions now.

Keywords: instantly ends soon asap rush

Regards,
Avery Martinez",Phishing Email,yes,yes,"Generic greeting, urgent time-sensitive request to respond, follow instructions, and no verifiable sender or company.",85
"Subject: Performance feedback

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Appreciate your feedback on this draft.

Best,
Sam Patel",Safe Email,no,no,"It appears to be a routine internal email requesting feedback on a draft proposal; no obvious request for credentials, links, or urgent action.",70
"Dear user, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: update, announcement, confidential

Compliance Team,
Jordan Kim",Phishing Email,yes,yes,"Generic greeting, prompts clicking a link and opening an attachment, auto-generated note, no verifiable sender—classic phishing pattern.",85
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: we talked, payment verification, trust me, widower, extend stay, traveler

Security Team,
Avery Wong",Phishing Email,yes,yes,"The message requests an urgent, unsecured loan with a travel excuse and a promise to repay, which matches common phishing patterns; suspicious sign-off and generic tone.",85
"Subject: Code review summary

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Sam Khan",Safe Email,no,no,"It reads as a standard post-workshop note with references and slide deck; no urgent action, no suspicious links or login requests.",70
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: don't wait, while supplies last, urgent

Sincerely,
Taylor Garcia",Phishing Email,yes,yes,"Urgent, time-sensitive language urging immediate action and following instructions, with generic sender and no verifiable identifiers.",85
"Notice, this is the facebook security team. There are security concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

Keywords: american express bank government police

Support Desk,
Casey Lee",Phishing Email,yes,yes,"Impersonates Facebook security, threatens suspension, asks you to follow steps; lacks verifiable sender info and includes suspicious keywords.",82
